user_id,observations,avg_income,avg_expense,avg_savings_rate,avg_actual_savings,goal_met_rate,avg_debt_to_income,avg_loan_payment,avg_investment_rate,avg_emergency_fund_months,avg_discretionary_share,avg_expense_to_income,high_stress_rate,cluster,savings_segment
1000,3,3096.1733333333336,3068.98,0.29,474.9433333333333,0.0,0.4366666666666667,680.4966666666666,0.16653465844415444,0.5107222756705804,0.17050842044740008,0.9878441700907467,0.0,0,Cash-flow stretched
1001,3,4395.843333333333,2624.2166666666667,0.14666666666666667,1771.6266666666668,0.0,0.33,746.9933333333333,0.039268636657411336,0.3269938140199431,0.19046809709229515,0.5835716352028185,0.0,2,Resilient investors
1002,1,4712.63,2307.9,0.2,2404.73,0.0,0.22,184.54,0.1284229824959736,0.571484899692361,0.1995277091728411,0.4897265433526502,0.0,2,Resilient investors
1003,4,4282.0525,3140.0275,0.225,1163.6225,0.25,0.39,725.9575,0.08321596341040693,0.3264682227775756,0.17599662630824447,0.7543632371093757,0.25,3,Debt-pressure spenders
1004,1,3563.08,3533.87,0.08,29.21,0.0,0.13,577.78,0.18017838499275907,0.0,0.059965420346532274,0.991802036440383,0.0,0,Cash-flow stretched
1005,3,5130.42,3105.9166666666665,0.16,2024.5033333333333,0.3333333333333333,0.31,500.51000000000005,0.05220801655233389,0.24346471883993345,0.23698848254770685,0.6181334480320639,0.0,1,Goal-focused savers
1006,1,4101.85,2935.32,0.38,1166.53,0.0,0.11,176.22,0.1585528481051233,0.32364444081054194,0.0795381764168813,0.7156088106586053,0.0,2,Resilient investors
1007,1,4370.16,1178.52,0.14,3191.64,1.0,0.32,657.92,0.06961987661778973,1.4339001459457625,0.42174082747853237,0.26967433686638476,0.0,1,Goal-focused savers
1009,5,3840.8239999999996,2988.5860000000002,0.246,852.238,0.0,0.358,522.366,0.1504389568391528,0.27234495047498186,0.13500000262948886,0.7893120991232963,0.2,3,Debt-pressure spenders
1010,2,4572.405,3098.825,0.265,1657.315,0.0,0.36,428.655,0.05876900521283196,0.3356509225689343,0.14162983164925236,0.7591391152490762,0.5,3,Debt-pressure spenders
1011,1,3419.44,4156.88,0.06,0.0,0.0,0.36,626.2,0.0,0.29159369527145357,0.13945314755297242,1.2156610439136233,0.0,0,Cash-flow stretched
1012,1,5047.92,2324.62,0.05,2723.3,1.0,0.43,130.35,0.09838309640406345,0.29874129965327667,0.1916829417281104,0.46051046767777615,0.0,1,Goal-focused savers
1013,3,3742.5166666666664,2656.68,0.15,1085.8366666666668,0.0,0.24333333333333332,580.9233333333333,0.1544951810764059,0.35982979582405994,0.21302698829081942,0.739699448155997,0.0,2,Resilient investors
1014,2,3990.92,2951.3199999999997,0.36,1039.6000000000001,0.0,0.25,431.56499999999994,0.09494385248094589,0.5003005329882251,0.221097575591778,0.7935886045010477,0.0,2,Resilient investors
1015,2,4868.905,2545.2299999999996,0.315,2323.675,0.0,0.32499999999999996,357.12,0.05214978943067394,0.40686829626445176,0.17341027426855535,0.5223782184521732,0.5,2,Resilient investors
1016,2,4064.115,2737.32,0.11,1326.795,0.0,0.30000000000000004,515.1800000000001,0.13309598693425112,0.4651451921034981,0.26135444698331445,0.6721599957568303,0.0,2,Resilient investors
