date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,month,expense_to_income,discretionary_share,essential_share,investment_rate,emergency_fund_months,stress_score
2019-01-01,1584,3119.58,3212.07,0.38,3676.11,inflation,721.0,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,Freelance,1501.65,Investments,Positive,8.3,Low,0.0,0,2019-01-01,1.029648221876022,0.2669773697335363,0.5948967488255237,0.22093358721366338,0.15895668525281204,1
2019-01-31,1045,3262.44,3732.81,0.1,2607.17,inflation,670.0,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,Salary,1603.17,Investments,Positive,22.6,Low,0.0,0,2019-01-01,1.1441773641814101,0.14319239393379252,0.8479402916301659,0.11045107342970291,0.3092603159550044,1
2019-03-02,1756,2931.2,3335.58,0.15,3004.14,inflation,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,Freelance,1097.82,Healthcare,Positive,58.8,Low,0.0,0,2019-03-01,1.137957150655022,0.10602953609267354,0.4510639828755419,0.0,0.42961643852043724,1
2019-04-01,1724,3506.79,2327.59,0.17,3346.97,normal,717.0,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,Freelance,1155.64,Groceries,Positive,74.5,Low,1179.2,0,2019-04-01,0.6637380624445719,0.25523395443355573,0.6232712805949501,0.051916424992657105,0.097684729698959,1
2019-05-01,1600,4606.87,2182.58,0.34,2670.09,inflation,795.0,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,Salary,1170.86,Utilities,Negative,38.7,High,2424.29,0,2019-05-01,0.47376635329410205,0.2551384141703855,0.4581733544703974,0.07440626716186911,0.2702352262001851,3
2019-05-31,1985,4028.39,3876.57,0.26,2079.72,recession,643.0,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,Salary,548.67,Healthcare,Positive,53.7,Medium,151.82,0,2019-05-01,0.962312487122647,0.11119107871133502,0.6010493812829383,0.11198270276711043,0.2917604996169294,2
2019-06-30,1194,4145.45,3035.61,0.15,2215.8,normal,683.0,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,Freelance,637.04,Transportation,Positive,74.7,High,1109.84,0,2019-06-01,0.7322751450385363,0.14609913658210374,0.942248839607196,0.1761980002171055,0.32781549672059324,3
2019-07-30,1600,3202.37,2689.51,0.25,3650.48,normal,655.0,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,Salary,1453.18,Entertainment,Neutral,83.1,Medium,512.86,0,2019-07-01,0.8398498611965514,0.22415979118872953,1.311223977601868,0.069995034927257,0.2724325248837149,2
2019-08-29,1835,4765.11,2628.56,0.06,2813.81,normal,715.0,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,Salary,1675.75,Education,Negative,71.6,Low,2136.55,0,2019-08-01,0.551626300337243,0.2791148004991326,0.9524796846942813,0.0,0.6174673585537328,1
2019-09-28,1454,3581.79,3370.8,0.13,2195.92,normal,749.0,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,Salary,682.16,Entertainment,Positive,77.9,High,210.99,0,2019-09-01,0.9410936989605756,0.13775364898540404,0.5017384597128278,0.07297747774157613,0.31360507891301764,3
2019-10-28,1045,3832.71,3230.77,0.23,3178.17,normal,611.0,0.19,316.34,452.59,9,1095.63,73,0,585.69,3029.36,Mixed,1254.48,Investments,Positive,62.5,Medium,601.94,0,2019-10-01,0.842946635670322,0.18128495683691506,0.9376588243669466,0.11808615835792428,0.33912349068488323,2
2019-11-27,1357,2136.79,3444.29,0.34,2685.16,normal,669.0,0.39,285.31,528.05,5,1967.83,53,0,283.44,2492.21,Freelance,773.98,Entertainment,Negative,36.1,High,0.0,0,2019-11-01,1.6118991571469354,0.08229272215754191,0.7235772829813982,0.24712302098006822,0.5713311016203629,3
2019-12-27,1403,5462.92,3049.29,0.29,2973.21,recession,670.0,0.23,679.87,275.58,2,1431.37,41,0,582.65,1483.81,Salary,1502.86,Groceries,Positive,39.0,Low,2413.63,0,2019-12-01,0.5581795083947779,0.19107726716711101,0.48660835801120916,0.050445549266692535,0.4694109120483784,1
2020-01-26,1884,2110.66,2707.86,0.24,1420.73,recession,647.0,0.32,331.5,563.48,6,1153.64,86,0,309.46,3236.23,Salary,790.3,Insurance,Positive,17.2,Medium,0.0,0,2020-01-01,1.2829446713350328,0.1142821268455533,1.195124563308295,0.26696862592743503,0.4260338422222715,2
2020-02-25,1675,3507.29,2661.4,0.26,3493.12,normal,739.0,0.4,650.88,220.05,7,1405.48,74,0,248.39,2825.21,Salary,1009.85,Investments,Neutral,11.2,Medium,845.89,0,2020-02-01,0.7588194874105079,0.09333057789133538,1.0615503118659353,0.06274074855515227,0.5280979935372361,2
2020-03-26,1750,2098.58,4614.09,0.16,2896.61,normal,620.0,0.29,655.47,284.89,1,1381.6,58,0,494.7,1332.65,Salary,868.9,Dining Out,Positive,94.2,Low,0.0,0,2020-03-01,2.1986724356469614,0.1072150738282088,0.28882184786165854,0.13575370012103422,0.29943065696594556,1
2020-04-25,1222,3677.65,3489.82,0.3,2068.33,normal,631.0,0.13,511.94,347.32,7,1729.56,66,1,362.3,2576.38,Mixed,1284.68,Groceries,Negative,50.0,Low,187.83,0,2020-04-01,0.9489266243389121,0.1038162426715418,0.7382558412754813,0.09444074340951422,0.49560149234057915,1
2020-05-25,1050,1884.19,2764.11,0.29,3904.13,normal,676.0,0.41,550.79,394.33,6,1692.29,59,0,633.22,2517.59,Mixed,1187.56,Dining Out,Positive,68.6,Low,0.0,0,2020-05-01,1.4670017354937666,0.22908639670635395,0.91081396905333,0.20928356482095753,0.6122368501977128,1
2020-06-24,1234,3697.31,3523.56,0.17,3122.47,normal,743.0,0.52,351.55,247.39,6,493.09,62,0,516.89,2177.0,Salary,919.0,Dining Out,Negative,90.6,Medium,173.75,0,2020-06-01,0.9530063749049985,0.14669538761933953,0.6178410471227963,0.06691080812807149,0.13994085527137326,2
2020-07-24,1447,4726.33,3948.38,0.14,2539.69,normal,691.0,0.48,369.67,409.83,7,1320.35,96,0,478.5,1850.42,Salary,929.73,Transportation,Negative,73.7,Low,777.95,0,2020-07-01,0.8354008289730087,0.1211889433134602,0.4686529665331098,0.08671210008611333,0.3344029703321362,1
2020-08-23,1347,2911.22,1886.67,0.17,2330.65,normal,631.0,0.52,448.13,112.31,7,1431.26,35,0,755.99,1737.44,Salary,1501.13,Investments,Neutral,43.5,High,1024.55,0,2020-08-01,0.6480685073611752,0.40070070547578535,0.9209029666025325,0.0385783279862051,0.7586170342455225,3
2020-09-22,1918,3972.53,2793.73,0.22,2700.51,normal,759.0,0.44,469.72,955.5,7,1359.6,82,0,563.8,2305.04,Mixed,1187.25,Insurance,Neutral,79.7,Low,1178.8,0,2020-09-01,0.7032621528345915,0.20180905098202043,0.8250761526704442,0.24052681792207986,0.4866612020488737,1
2020-10-22,1879,5136.85,2474.84,0.28,2837.11,inflation,694.0,0.25,428.59,529.61,7,1045.61,64,0,435.07,2900.43,Salary,943.32,Healthcare,Neutral,81.4,Low,2662.01,0,2020-10-01,0.4817816366060913,0.17579722325483665,1.1719666725929756,0.10310014892395145,0.42249599974139734,1
2020-11-21,1057,4124.22,2712.7,0.26,3029.37,normal,706.0,0.21,308.5,258.74,5,615.45,94,0,643.02,1682.26,Salary,839.09,Utilities,Neutral,78.3,Low,1411.52,0,2020-11-01,0.657748616708129,0.23704058686917095,0.6201422936557673,0.06273671142664553,0.22687728093781107,1
2020-12-21,1129,4622.48,2219.51,0.18,2541.05,normal,661.0,0.46,318.48,591.38,3,2306.84,27,0,260.55,1651.01,Salary,903.63,Groceries,Negative,64.1,Low,2402.97,0,2020-12-01,0.480155674010488,0.11739077544142626,0.7438623840397204,0.12793565358854989,1.0393465224306266,1
2021-01-20,1680,4859.63,2830.71,0.4,2665.05,normal,609.0,0.32,787.17,459.74,2,768.35,31,0,186.89,1921.24,Salary,1611.29,Healthcare,Positive,39.8,Low,2028.92,0,2021-01-01,0.5824949636083405,0.06602230535801971,0.678713114377665,0.09460391017423136,0.27143366858491336,1
2021-02-19,1621,5414.37,3328.5,0.1,2707.47,inflation,665.0,0.56,540.72,512.29,5,1233.88,41,0,468.01,2460.65,Salary,964.77,Transportation,Positive,47.7,Medium,2085.87,0,2021-02-01,0.6147529629485979,0.14060687997596516,0.7392669370587351,0.09461673287935622,0.37070151719993993,2
2021-03-21,1998,6042.51,2246.36,0.05,2185.71,inflation,620.0,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,Salary,423.02,Dining Out,Positive,27.9,Medium,3796.15,1,2021-03-01,0.37175941785781075,0.17091205327730194,0.8795250983813814,0.09590550946543737,0.6735741377161274,2
2021-04-20,1058,4422.94,2989.14,0.32,2506.2,normal,662.0,0.38,440.32,326.25,9,322.35,90,0,809.16,1000.0,Salary,1618.9,Groceries,Negative,27.3,High,1433.8,0,2021-04-01,0.6758264864547111,0.27069993376021195,0.33454438400342573,0.07376315301586728,0.1078403821835043,3
2021-05-20,1334,4012.76,2193.69,0.3,3328.25,normal,617.0,0.53,720.24,0.0,6,1168.02,96,0,183.69,1375.03,Freelance,489.72,Entertainment,Negative,65.4,Medium,1819.07,0,2021-05-01,0.5466785952810534,0.08373562353842157,0.6268114455552061,0.0,0.5324453318381357,2
2021-06-19,1256,3163.61,4000.56,0.22,2749.02,recession,619.0,0.29,377.91,686.52,6,1411.56,96,0,220.76,2389.84,Salary,1197.82,Entertainment,Negative,89.5,Low,0.0,0,2021-06-01,1.2645553655475863,0.05518227448157258,0.5973763673085768,0.21700525665300083,0.3528406023156758,1
2021-07-19,1421,2980.36,2083.75,0.15,3026.26,recession,690.0,0.23,365.45,213.49,6,453.89,78,0,96.31,2709.84,Salary,1127.79,Rent,Positive,84.0,Medium,896.61,0,2021-07-01,0.6991605041001758,0.04621955608878225,1.3004631073785244,0.07163228603255982,0.2178236352729454,2
