month,avg_income,avg_expense,avg_actual_savings,avg_savings_rate,goal_met_rate,avg_debt_to_income
2019-01-01,3929.2259000000004,2983.8925,1099.662,0.24240000000000003,0.1,0.377
2019-03-01,3967.0422000000003,2934.4372000000003,1154.6398,0.20400000000000001,0.06,0.34240000000000004
2019-04-01,4037.3772,3169.5038,1044.568,0.23399999999999999,0.08,0.2992
2019-05-01,4051.4596,2916.6,1253.9901,0.2305,0.16,0.37160000000000004
2019-06-01,4063.7306,2974.8424,1251.1832,0.21960000000000002,0.16,0.33740000000000003
2019-07-01,3956.5633999999995,2996.837,1188.7086,0.21100000000000002,0.14,0.3514
2019-08-01,4116.4444,3006.0282,1282.1698,0.22820000000000001,0.08,0.3456
2019-09-01,3864.2406,2946.9033999999997,1027.0486,0.2384,0.08,0.34659999999999996
2019-10-01,3977.1585999999998,3217.0616000000005,928.3358000000001,0.20879999999999999,0.06,0.3248
2019-11-01,4011.2328,3185.6479999999997,981.482,0.2114,0.06,0.36479999999999996
2019-12-01,4043.4604,3128.3152,1055.712,0.22760000000000002,0.1,0.36200000000000004
2020-01-01,4155.1884,3040.8541999999998,1234.036,0.2278,0.16,0.3446
2020-02-01,3931.982,2792.0166,1272.4682,0.2026,0.08,0.36460000000000004
2020-03-01,4151.7548,2893.0368,1414.161,0.22940000000000002,0.1,0.3444
2020-04-01,3948.8738,2915.2056,1182.9364,0.2254,0.08,0.3296
2020-05-01,4176.4456,3248.113,1150.4633999999999,0.244,0.12,0.355
2020-06-01,3942.7709999999997,2933.5398,1196.1404,0.2254,0.1,0.31980000000000003
2020-07-01,4200.5952,2960.9344,1339.355,0.2504,0.1,0.345
2020-08-01,3933.4426000000003,2804.2891999999997,1269.2830000000001,0.2372,0.18,0.3048
2020-09-01,4045.2782,3041.5726,1217.4877999999999,0.239,0.08,0.35840000000000005
2020-10-01,3972.2906,3114.2844,1000.204,0.2366,0.04,0.3614
2020-11-01,4057.2338,2925.8912,1230.5062,0.2192,0.1,0.3038
2020-12-01,3743.8797999999997,2900.6135999999997,1073.0819999999999,0.22640000000000002,0.06,0.34299999999999997
2021-01-01,3685.8458,2981.9186,969.4258,0.2304,0.1,0.3636
2021-02-01,4059.8658,3051.6196,1224.7076,0.2228,0.1,0.37979999999999997
2021-03-01,4023.2403999999997,3329.8527999999997,953.5968,0.2134,0.06,0.326
2021-04-01,3858.7738,2844.3456,1170.5942,0.233,0.06,0.37
2021-05-01,3894.2646000000004,2952.3378000000002,1135.9836,0.2488,0.1,0.3544
2021-06-01,3783.0664,2833.0706,1050.1172,0.2118,0.06,0.39380000000000004
2021-07-01,3921.0738,2989.9408000000003,1116.6372000000001,0.21,0.08,0.3546
2021-08-01,3766.3808000000004,2981.0356,988.2802,0.1902,0.06,0.3638
2021-09-01,3799.1259999999997,2899.2338,1091.634,0.2386,0.1,0.31980000000000003
2021-10-01,3978.1044,3004.2756,1167.118,0.259,0.04,0.3546
2021-11-01,4105.5398,3184.397,1095.1976,0.18960000000000002,0.06,0.3396
2021-12-01,3902.0703999999996,3091.716,1026.2788,0.19920000000000002,0.04,0.38079999999999997
2022-01-01,3871.5840000000003,3116.8328,961.5376,0.2412,0.06,0.3464
2022-02-01,4273.1378,3025.0444,1330.7346,0.22260000000000002,0.14,0.337
2022-03-01,3968.408,3134.447,1078.7434,0.225,0.08,0.3378
2022-04-01,4024.7670000000003,3097.8498,1151.3234,0.21559999999999999,0.12,0.355
2022-05-01,3912.6018,2931.9240000000004,1210.265,0.233,0.06,0.3522
2022-06-01,3967.5356,2779.095,1326.1666,0.2268,0.14,0.39759999999999995
2022-07-01,3958.5578000000005,2928.5815999999995,1146.129,0.24580000000000002,0.1,0.3366
2022-08-01,4004.094,3006.4946,1145.9877999999999,0.2162,0.12,0.4008
2022-09-01,4122.359,2970.5674,1299.4968,0.2218,0.14,0.3272
2022-10-01,4028.3026,3099.6005999999998,1083.8634,0.2288,0.06,0.3668
2022-11-01,4073.6942,2954.975,1248.3326,0.2262,0.1,0.34600000000000003
2022-12-01,4119.0224,3213.8266,999.8366000000001,0.2302,0.1,0.3696
2023-01-01,3851.863,2947.8852,1092.0575999999999,0.22519999999999998,0.04,0.32380000000000003
2023-02-01,3953.2002,3010.3804,1045.3876,0.2386,0.06,0.3922
2023-03-01,4146.7062,2977.0978000000005,1319.5448000000001,0.2284,0.1,0.3496
2023-04-01,3853.4618,3034.485,1037.2264,0.23399999999999999,0.02,0.3642
2023-05-01,4074.9244,3049.75,1153.9804,0.2152,0.08,0.3532
2023-06-01,4279.607,2988.8192,1402.4862,0.2192,0.12,0.37060000000000004
2023-07-01,4149.1004,3055.2254,1231.69,0.21100000000000002,0.06,0.3334
2023-08-01,3990.6822,2989.4604,1221.2302,0.2382,0.14,0.3296
2023-09-01,4214.512,3046.1324,1296.4538,0.2228,0.14,0.34159999999999996
2023-10-01,4044.3876,3104.3197999999998,1114.1942,0.21280000000000002,0.06,0.336
2023-11-01,4337.8228,3163.4824,1297.593,0.23620000000000002,0.1,0.33520000000000005
